Time,Population,Inflow,Outflow,Stock Change,Stock,cars per 1000 people,Kilometrage per vehicle,Fuel efficiency,Carbon intensity,Total km driven,Total gasoline consumend,Total direct CO2 emissions,,,,
1950,0.024726232,1157.864047,,,,,27200,9.07,2.4,,,,,,,
1951,0.040701377,3085.651022,,,,,27200,9.07,2.4,,,,,,51,10
1952,0.066928509,1314.644583,,,,,27200,9.07,2.4,,,,,,50,10
1953,0.109869426,4843.545514,,,,,27200,9.07,2.4,,,,,,49,10
1954,0.1798621,3575.745174,,,,,27200,9.07,2.4,,,,,,48,10
1955,0.293122308,2610.542397,,,,,27200,9.07,2.4,,,,,,47,10
1956,0.474258732,6049.388165,,,,,27200,9.07,2.4,,,,,,46,9.999999317
1957,0.7585818,3197.065801,,,,,27200,9.07,2.4,,,,,,45,9.999998875
1958,1.19202922,5753.977063,,,,,27200,9.07,2.4,,,,,,44,9.999998145
1959,1.824255238,6526.578667,,,,,27200,9.07,2.4,,,,,,43,9.999996941
1960,2.689414214,719.2723009,,,,,27200,9.07,2.4,,,,,,42,9.999994957
1961,3.775406688,3132.875888,,,,,27200,9.07,2.4,,,,,,41,9.999991685
1962,5,3674.182644,,,,,27200,9.07,2.4,,,,,,40,9.99998629
1963,6.224593312,3544.525976,,,,,27200,9.07,2.4,,,,,,39,9.999977397
1964,7.310585786,6042.928801,,,,,27200,9.07,2.4,,,,,,38,9.999962734
1965,8.175744762,9367.235464,,,,,27200,9.07,2.4,,,,,,37,9.999938558
1966,8.80797078,6212.29886,,,,,27200,9.07,2.4,,,,,,36,9.9998987
1967,9.2414182,4266.59473,,,,,27200,9.07,2.4,,,,,,35,9.999832986
1968,9.525741268,4419.973554,,,,,27200,9.07,2.4,,,,,,34,9.999724643
1969,9.706877692,4863.323094,,,,,27200,9.07,2.4,,,,,,33,9.999546021
1970,9.8201379,10789.10402,,,,,27200,9.07,2.4,,,,,,32,9.999251538
1971,9.890130574,12197.10599,,,,,27200,9.07,2.4,,,,,,31,9.998766054
1972,9.933071491,20288.0069,,,,,27200,9.07,2.4,,,,,,30,9.99796573
1973,9.959298623,23373.99032,,,,,27200,9.07,2.4,,,,,,29,9.996646499
1974,9.975273768,27567.94971,,,,,27200,9.07,2.4,,,,,,28,9.994472214
1975,9.984988177,34790.1283,,,,,27200,9.07,2.4,,,,,,27,9.990889488
1976,9.990889488,34766.9415,,,,,27200,9.07,2.4,,,,,,26,9.984988177
1977,9.994472214,28423.88177,,,,,27200,9.07,2.4,,,,,,25,9.975273768
1978,9.996646499,38188.44172,,,,,27200,9.07,2.4,,,,,,24,9.959298623
1979,9.99796573,44003.48269,,,,,27200,9.07,2.4,,,,,,23,9.933071491
1980,9.998766054,61008.02176,,,,,27200,9.07,2.4,,,,,,22,9.890130574
